x	f(x)
0	0
0.1	0.0998334166468282
0.2	0.198669330795061
0.3	0.29552020666134
0.4	0.389418342308651
0.5	0.479425538604203
0.6	0.564642473395035
0.7	0.644217687237691
0.8	0.717356090899523
0.9	0.783326909627483
1	0.841470984807896
1.1	0.891207360061435
1.2	0.932039085967226
1.3	0.963558185417193
1.4	0.98544972998846
1.5	0.997494986604054
1.6	0.999573603041505
1.7	0.991664810452469
1.8	0.973847630878195
1.9	0.946300087687414
2	0.909297426825681
2.1	0.863209366648873
2.2	0.80849640381959
2.3	0.74570521217672
2.4	0.67546318055115
2.5	0.598472144103956
2.6	0.515501371821463
2.7	0.427379880233829
2.8	0.334988150155904
2.9	0.239249329213981
3	0.141120008059866
3.1	0.0415806624332892




x	f(x)
0	0
0.1	0.198669330795061
0.2	0.389418342308651
0.3	0.564642473395035
0.4	0.717356090899523
0.5	0.841470984807897
0.6	0.932039085967226
0.7	0.98544972998846
0.8	0.999573603041505
0.9	0.973847630878195
1	0.909297426825682
1.1	0.80849640381959
1.2	0.675463180551151
1.3	0.515501371821464
1.4	0.334988150155905
1.5	0.141120008059867
1.6	-0.0583741434275805
1.7	-0.255541102026832
1.8	-0.442520443294853
1.9	-0.61185789094272
2	-0.756802495307929
2.1	-0.871575772413589
2.2	-0.951602073889516
2.3	-0.993691003633465
2.4	-0.996164608835841
2.5	-0.958924274663138
2.6	-0.883454655720152
2.7	-0.772764487555986
2.8	-0.63126663787232
2.9	-0.464602179413755
3	-0.279415498198923
3.1	-0.0830894028174937




x	f(x)
0	0
0.1	0.29552020666134
0.2	0.564642473395035
0.3	0.783326909627484
0.4	0.932039085967226
0.5	0.997494986604054
0.6	0.973847630878195
0.7	0.863209366648874
0.8	0.675463180551151
0.9	0.42737988023383
1	0.141120008059868
1.1	-0.157745694143248
1.2	-0.442520443294852
1.3	-0.687766159183974
1.4	-0.871575772413588
1.5	-0.977530117665097
1.6	-0.996164608835841
1.7	-0.925814682327732
1.8	-0.772764487555987
1.9	-0.550685542597636
2	-0.279415498198924
2.1	0.0168139004843515
2.2	0.31154136351338
2.3	0.578439764388202
2.4	0.793667863849155
2.5	0.93799997677474
2.6	0.998543345374605
2.7	0.969889810845085
2.8	0.854598908088279
2.9	0.662969230082181
3	0.412118485241753
3.1	0.124454423507058




